 Table 4. Sale prices statistics by NSW Postcode,,,,,,,,,,
2295,Total,865,953,1088,1026,s,-2.31%,-0.26%,-3.70%,-7.14%
2295,Non Strata,865,953,1088,1026,s,-2.31%,-0.26%,-3.70%,-7.14%
2296,Total,-,-,-,-,-,-,-,-,-
2296,Non Strata,-,-,-,-,-,-,-,-,-
2297,Total,-,-,-,-,-,-,-,-,-
2297,Non Strata,-,-,-,-,-,-,-,-,-
2298,Total,735,755,874,774,s,0.70%,-0.76%,-37.14%,-37.14%
2298,Non Strata,750,770,885,808,s,-1.28%,-3.75%,-37.04%,-41.38%
2298,Strata,-,-,-,-,-,-,-,-,-
2299,Total,669,801,935,818,58,6.80%,-1.72%,31.82%,34.88%
2299,Non Strata,730,829,990,879,49,7.66%,-4.44%,28.95%,36.11%
2299,Strata,-,-,-,-,-,-,-,-,-
2300,Total,663,893,1293,1027,80,2.59%,-1.92%,8.11%,-13.98%
2300,Non Strata,-,-,-,-,-,-,-,-,-
2300,Strata,650,815,1250,915,71,4.49%,-1.21%,14.52%,-6.58%
2302,Total,560,601,818,708,s,-12.90%,-17.67%,25.00%,15.38%
2302,Strata,560,601,818,708,s,-12.90%,-17.67%,25.00%,15.38%
2303,Total,810,1051,1700,1322,s,-22.12%,-15.89%,-9.37%,-3.33%
2303,Non Strata,890,1380,1963,1502,s,-2.13%,6.15%,-25.81%,-20.69%
2303,Strata,-,-,-,-,-,-,-,-,-
2304,Total,674,795,875,761,75,3.58%,3.25%,20.97%,8.70%
2304,Non Strata,730,825,880,807,57,-3.23%,3.13%,35.71%,-1.72%
2304,Strata,473,623,769,618,s,3.89%,2.11%,-10.00%,63.64%
2305,Total,740,963,1175,999,53,0.84%,-3.70%,-15.87%,-25.35%
2305,Non Strata,908,1118,1313,1124,40,1.59%,14.62%,-11.11%,-4.76%
2305,Strata,520,605,640,616,s,-6.20%,-92.04%,-27.78%,-55.17%
2306,Total,-,-,-,-,-,-,-,-,-
2306,Non Strata,-,-,-,-,-,-,-,-,-
2307,Total,575,680,735,677,s,7.09%,3.03%,0.00%,13.33%
2307,Non Strata,668,704,746,701,s,3.53%,5.86%,27.27%,7.69%
2307,Strata,-,-,-,-,-,-,-,-,-
2311,Total,-,-,-,-,-,-,-,-,-
2311,Non Strata,-,-,-,-,-,-,-,-,-
2312,Total,-,-,-,-,-,-,-,-,-
2312,Non Strata,-,-,-,-,-,-,-,-,-
2315,Total,708,884,1100,942,84,1.03%,-4.54%,-9.68%,-23.64%
2315,Non Strata,898,1063,1300,1120,48,10.68%,-4.71%,-15.79%,-14.29%
2315,Strata,590,690,813,705,36,-12.38%,10.31%,0.00%,-33.33%
2316,Total,940,968,1650,1308,s,-5.10%,-7.86%,120.00%,29.41%
2316,Non Strata,940,968,1650,1308,s,-5.10%,1.84%,120.00%,69.23%
2317,Total,653,1010,1316,1113,32,21.32%,29.49%,-20.00%,-8.57%
2317,Non Strata,1043,1240,1500,1419,s,44.19%,38.62%,-13.04%,-23.08%
2317,Strata,556,620,658,603,s,0.00%,-6.77%,-29.41%,33.33%
2318,Total,730,815,1050,905,41,-16.62%,11.64%,-18.00%,-22.64%
2318,Non Strata,730,815,1050,905,41,-16.62%,11.64%,-18.00%,-22.64%
2319,Total,604,708,826,727,32,6.79%,10.55%,3.23%,18.52%
2319,Non Strata,604,708,826,727,32,6.79%,10.55%,3.23%,18.52%
2320,Total,585,690,850,773,169,-2.82%,1.06%,13.42%,-10.11%
2320,Non Strata,625,729,874,819,144,-0.17%,4.11%,6.67%,-11.66%
2320,Strata,458,505,535,511,s,4.66%,4.12%,78.57%,0.00%
2321,Total,610,690,808,725,74,-4.17%,-0.14%,-16.85%,-5.13%
2321,Non Strata,649,713,821,739,68,-2.40%,1.42%,-15.00%,-5.56%
2321,Strata,-,-,-,-,-,-,-,-,-
2322,Total,611,735,884,755,78,-0.07%,9.63%,-22.77%,-24.27%
2322,Non Strata,612,745,883,756,72,-0.73%,3.40%,-19.10%,-19.10%
2322,Strata,-,-,-,-,-,-,-,-,-
2323,Total,584,680,824,731,108,0.00%,-1.45%,10.20%,-6.09%
2323,Non Strata,630,700,834,737,83,1.82%,-3.51%,7.79%,-11.70%
2323,Strata,440,565,650,711,s,5.61%,13.45%,19.05%,19.05%
2324,Total,573,665,835,718,113,0.45%,-0.75%,3.67%,0.00%
2324,Non Strata,583,670,848,731,95,-1.47%,-0.74%,2.15%,2.15%
2324,Strata,491,588,750,649,s,-5.77%,30.56%,12.50%,-10.00%
2325,Total,505,588,700,615,146,-0.84%,-2.08%,6.57%,7.35%
2325,Non Strata,512,600,725,624,136,0.00%,-1.23%,4.62%,7.94%
2325,Strata,-,-,-,-,-,-,-,-,-
2326,Total,490,600,695,604,s,0.84%,1.69%,25.00%,31.58%
2326,Non Strata,490,600,695,604,s,0.84%,1.69%,25.00%,31.58%
2327,Total,505,540,610,545,s,-4.42%,-6.90%,16.00%,-29.27%
2327,Non Strata,524,560,619,576,s,-2.61%,-5.08%,0.00%,-35.14%
2327,Strata,-,-,-,-,-,-,-,-,-
2328,Total,-,-,-,-,-,-,-,-,-
2328,Non Strata,-,-,-,-,-,-,-,-,-
2328,Strata,-,-,-,-,-,-,-,-,-
2329,Total,-,-,-,-,-,-,-,-,-
2329,Non Strata,-,-,-,-,-,-,-,-,-
2330,Total,525,620,850,700,69,-12.18%,-15.36%,-23.33%,-33.65%
2330,Non Strata,570,660,895,734,61,-8.71%,-13.16%,-15.28%,-34.41%
2330,Strata,-,-,-,-,-,-,-,-,-
2333,Total,365,437,534,473,86,-2.89%,-2.35%,-2.27%,-31.75%
2333,Non Strata,390,484,535,472,65,2.43%,4.99%,-12.16%,-40.37%
2333,Strata,265,330,457,473,s,2.01%,8.20%,50.00%,23.53%
2334,Total,525,600,636,595,s,-0.41%,-20.53%,100.00%,46.67%
2334,Non Strata,525,600,636,595,s,-0.41%,-20.53%,100.00%,46.67%
2335,Total,621,685,820,804,s,-1.08%,-2.14%,-11.76%,-25.00%
2335,Non Strata,630,698,855,831,s,-0.71%,-0.36%,-12.50%,-26.32%
2335,Strata,-,-,-,-,-,-,-,-,-
2336,Total,-,-,-,-,-,-,-,-,-
2336,Non Strata,-,-,-,-,-,-,-,-,-
2337,Total,410,466,645,536,37,-22.33%,2.87%,0.00%,0.00%
2337,Non Strata,414,485,648,566,32,-19.17%,2.32%,-11.11%,-11.11%
2337,Strata,-,-,-,-,-,-,-,-,-
2338,Total,-,-,-,-,-,-,-,-,-
2338,Non Strata,-,-,-,-,-,-,-,-,-
2340,Total,395,505,676,547,224,3.06%,13.10%,-10.76%,-13.85%
2340,Non Strata,410,515,679,554,206,3.00%,11.71%,-13.45%,-14.88%
2340,Strata,310,344,424,473,s,1.18%,4.88%,38.46%,0.00%
2341,Total,-,-,-,-,-,-,-,-,-
2341,Non Strata,-,-,-,-,-,-,-,-,-
2343,Total,258,280,335,298,s,-14.50%,-6.67%,-17.86%,-17.86%
2343,Non Strata,258,280,335,298,s,-15.41%,-6.67%,-11.54%,-17.86%
2344,Total,-,-,-,-,-,-,-,-,-
2344,Non Strata,-,-,-,-,-,-,-,-,-
2345,Total,-,-,-,-,-,-,-,-,-
2345,Non Strata,-,-,-,-,-,-,-,-,-
2346,Total,285,303,350,325,s,15.68%,-5.47%,75.00%,7.69%
2346,Non Strata,285,303,350,325,s,15.68%,-5.47%,75.00%,7.69%
2347,Total,-,-,-,-,-,-,-,-,-
2347,Non Strata,-,-,-,-,-,-,-,-,-
2350,Total,400,485,579,496,130,-1.52%,-7.62%,6.56%,-13.91%
2350,Non Strata,415,505,615,527,113,-5.59%,-6.48%,6.60%,-17.52%
2350,Strata,165,288,421,285,s,4.55%,-8.73%,6.25%,21.43%
2352,Total,-,-,-,-,-,-,-,-,-
2352,Non Strata,-,-,-,-,-,-,-,-,-
2353,Total,-,-,-,-,-,-,-,-,-
2353,Non Strata,-,-,-,-,-,-,-,-,-
2354,Total,-,-,-,-,-,-,-,-,-
2354,Non Strata,-,-,-,-,-,-,-,-,-
2355,Total,-,-,-,-,-,-,-,-,-
2355,Non Strata,-,-,-,-,-,-,-,-,-
2357,Total,210,310,438,323,s,25.00%,15.67%,25.00%,-34.78%
2357,Non Strata,210,310,438,323,s,25.00%,15.67%,25.00%,-34.78%
2358,Total,389,455,558,490,s,-13.33%,-1.62%,-34.78%,-16.67%
2358,Non Strata,389,455,558,490,s,-13.33%,-1.62%,-34.78%,-16.67%
2359,Total,-,-,-,-,-,-,-,-,-
2359,Non Strata,-,-,-,-,-,-,-,-,-
2360,Total,316,393,508,429,58,1.95%,7.31%,-1.69%,-12.12%
2360,Non Strata,316,393,508,429,58,1.95%,7.31%,-1.69%,-12.12%
2365,Total,240,300,350,349,s,-20.42%,-10.45%,21.43%,41.67%
2365,Non Strata,251,320,358,357,s,-15.12%,-4.48%,14.29%,33.33%
2365,Strata,-,-,-,-,-,-,-,-,-
2369,Total,-,-,-,-,-,-,-,-,-
2369,Non Strata,-,-,-,-,-,-,-,-,-
2370,Total,260,340,385,333,s,-8.72%,-8.11%,-21.87%,-35.90%
2370,Non Strata,260,340,385,333,s,-8.72%,-8.11%,-21.87%,-35.90%
2371,Total,-,-,-,-,-,-,-,-,-
2371,Non Strata,-,-,-,-,-,-,-,-,-
2372,Total,379,470,620,501,s,2.17%,17.50%,33.33%,-25.93%
2372,Non Strata,379,470,620,501,s,2.17%,17.50%,33.33%,-25.93%
2380,Total,380,505,620,516,53,7.78%,29.49%,8.16%,-27.40%
2380,Non Strata,399,513,623,519,52,8.63%,28.13%,8.33%,-24.64%
2380,Strata,-,-,-,-,-,-,-,-,-
2381,Total,-,-,-,-,-,-,-,-,-
2381,Non Strata,-,-,-,-,-,-,-,-,-
2382,Total,-,-,-,-,-,-,-,-,-
2382,Non Strata,-,-,-,-,-,-,-,-,-
2388,Total,185,275,397,277,s,17.02%,14.58%,0.00%,63.64%
2388,Non Strata,185,275,397,277,s,17.02%,14.58%,0.00%,63.64%
2390,Total,430,480,761,572,s,23.08%,28.00%,-31.43%,-36.84%
2390,Non Strata,430,480,761,572,s,23.08%,18.15%,-31.43%,-29.41%
2395,Total,-,-,-,-,-,-,-,-,-
2395,Non Strata,-,-,-,-,-,-,-,-,-
2400,Total,179,290,405,309,51,3.57%,30.63%,37.84%,-21.54%
2400,Non Strata,205,330,418,323,46,15.79%,46.67%,27.78%,-26.98%
2400,Strata,-,-,-,-,-,-,-,-,-
2402,Total,227,300,345,287,s,-25.00%,14.29%,37.50%,-38.89%
2402,Non Strata,227,300,345,287,s,-25.00%,14.29%,37.50%,-38.89%
2404,Total,-,-,-,-,-,-,-,-,-
2404,Non Strata,-,-,-,-,-,-,-,-,-
2409,Total,-,-,-,-,-,-,-,-,-
2409,Non Strata,-,-,-,-,-,-,-,-,-
2420,Total,483,682,867,698,s,-38.74%,15.02%,28.57%,0.00%
2420,Non Strata,483,682,867,698,s,-38.74%,15.02%,28.57%,0.00%
2421,Total,-,-,-,-,-,-,-,-,-
2421,Non Strata,-,-,-,-,-,-,-,-,-
2422,Total,485,555,885,728,s,1.19%,6.22%,-44.12%,5.56%
2422,Non Strata,485,555,885,728,s,1.19%,6.22%,-44.12%,5.56%
2423,Total,520,600,778,723,s,-27.71%,-28.14%,50.00%,-31.82%
2423,Non Strata,520,600,778,723,s,-27.71%,-28.14%,50.00%,-31.82%
2425,Total,-,-,-,-,-,-,-,-,-
2425,Non Strata,-,-,-,-,-,-,-,-,-
2427,Total,671,745,868,743,s,12.29%,-7.97%,-28.00%,-18.18%
2427,Non Strata,671,745,868,743,s,4.13%,-7.97%,-14.29%,-18.18%
2428,Total,580,700,878,751,129,-1.41%,1.08%,-13.42%,-2.27%
2428,Non Strata,686,788,966,838,82,-4.55%,6.13%,-7.87%,3.80%
2428,Strata,510,587,661,600,47,4.36%,-3.45%,-21.67%,-11.32%
2429,Total,420,515,756,592,38,-7.62%,-33.76%,5.56%,26.67%
2429,Non Strata,420,518,792,602,36,-7.17%,-33.44%,0.00%,20.00%
2429,Strata,-,-,-,-,-,-,-,-,-
2430,Total,466,600,814,648,146,8.30%,1.69%,4.29%,3.55%
2430,Non Strata,491,633,840,678,126,9.33%,2.02%,3.28%,5.88%
2430,Strata,375,408,520,458,s,-12.60%,-14.21%,11.11%,-9.09%
2431,Total,538,685,855,724,s,-9.87%,-7.12%,0.00%,3.85%
2431,Non Strata,610,800,938,783,s,0.31%,3.90%,5.56%,5.56%
2431,Strata,-,-,-,-,-,-,-,-,-
2439,Total,706,855,921,859,s,16.73%,2.34%,20.00%,71.43%
2439,Non Strata,706,855,921,859,s,16.73%,2.34%,20.00%,71.43%
2440,Total,448,555,731,605,68,10.90%,13.16%,-9.33%,-12.82%
2440,Non Strata,451,555,740,611,64,10.90%,13.16%,-9.86%,-13.51%
2440,Strata,-,-,-,-,-,-,-,-,-
2441,Total,453,660,1031,744,s,-9.59%,-15.38%,77.78%,45.45%
2441,Non Strata,453,660,1031,744,s,-9.59%,-15.38%,77.78%,45.45%
2443,Total,542,745,819,689,s,6.43%,4.78%,-36.17%,-3.23%
2443,Non Strata,650,765,840,735,s,2.68%,4.79%,-32.43%,-13.79%
2443,Strata,-,-,-,-,-,-,-,-,-
2444,Total,628,775,910,783,209,5.44%,-1.27%,-1.88%,-19.92%
2444,Non Strata,760,840,950,869,137,0.60%,-1.52%,1.48%,-17.96%
2444,Strata,491,560,665,620,72,-3.86%,-6.67%,-7.69%,-23.40%
2445,Total,750,860,940,862,s,-8.19%,-14.21%,-39.29%,-22.73%
2445,Non Strata,750,860,940,862,s,-8.44%,-20.19%,-22.73%,-15.00%
2446,Total,570,700,948,802,53,-14.89%,8.70%,-11.67%,6.00%
2446,Non Strata,570,700,948,802,53,-16.17%,7.53%,-8.62%,10.42%
2447,Total,600,800,920,796,36,14.29%,39.74%,100.00%,100.00%
2447,Non Strata,600,800,920,796,36,14.29%,39.74%,100.00%,100.00%
2448,Total,644,700,836,730,s,13.18%,6.71%,-15.62%,-10.00%
2448,Non Strata,647,701,843,742,s,1.89%,5.18%,0.00%,-7.14%
2448,Strata,-,-,-,-,-,-,-,-,-
2449,Total,380,415,490,500,s,-14.43%,-10.37%,116.67%,160.00%
2449,Non Strata,380,415,490,500,s,-14.43%,-10.37%,116.67%,160.00%
2450,Total,580,733,930,827,196,-0.34%,-2.33%,16.67%,24.84%
2450,Non Strata,679,768,1006,860,120,-5.25%,-12.03%,12.15%,13.21%
2450,Strata,490,571,798,774,76,4.77%,14.43%,24.59%,49.02%
2452,Total,676,765,884,806,62,0.33%,5.12%,24.00%,24.00%
2452,Non Strata,707,783,886,818,52,-0.45%,-1.20%,30.00%,44.44%
2452,Strata,-,-,-,-,-,-,-,-,-
2453,Total,-,-,-,-,-,-,-,-,-
2453,Non Strata,-,-,-,-,-,-,-,-,-
2454,Total,754,938,1073,981,s,-3.85%,-0.90%,-48.57%,63.64%
2454,Non Strata,754,938,1073,981,s,-3.85%,-0.90%,-48.57%,63.64%
2455,Total,-,-,-,-,-,-,-,-,-
2455,Non Strata,-,-,-,-,-,-,-,-,-
2456,Total,830,890,970,958,61,2.30%,9.54%,38.64%,12.96%
2456,Non Strata,833,890,975,963,59,1.71%,4.71%,37.21%,25.53%
2456,Strata,-,-,-,-,-,-,-,-,-
2460,Total,440,518,662,546,114,6.70%,10.11%,21.28%,-13.64%
2460,Non Strata,450,546,680,557,104,11.90%,14.84%,13.04%,-18.11%
2460,Strata,-,-,-,-,-,-,-,-,-
2462,Total,-,-,-,-,-,-,-,-,-
2462,Non Strata,-,-,-,-,-,-,-,-,-
2463,Total,658,748,885,783,32,-16.94%,-6.56%,28.00%,10.34%
2463,Non Strata,658,748,885,783,32,-16.94%,-6.68%,28.00%,14.29%
2464,Total,670,750,1118,896,43,-6.83%,-25.00%,-6.52%,22.86%
2464,Non Strata,716,863,1144,998,s,-3.09%,-13.10%,0.00%,0.00%
2464,Strata,580,640,725,661,s,1.19%,-37.25%,-18.75%,160.00%
2466,Total,-,-,-,-,-,-,-,-,-
2466,Non Strata,-,-,-,-,-,-,-,-,-
2469,Total,259,400,533,420,s,-17.86%,-17.18%,28.57%,38.46%
2469,Non Strata,259,400,533,420,s,-17.86%,-17.18%,28.57%,38.46%
2470,Total,399,449,576,463,44,5.03%,-5.47%,-12.00%,-16.98%
2470,Non Strata,410,453,584,479,38,5.23%,-6.51%,-15.56%,-24.00%
2470,Strata,-,-,-,-,-,-,-,-,-
2471,Total,-,-,-,-,-,-,-,-,-
2471,Non Strata,-,-,-,-,-,-,-,-,-
2472,Total,-,-,-,-,-,-,-,-,-
2472,Non Strata,-,-,-,-,-,-,-,-,-
2473,Total,-,-,-,-,-,-,-,-,-
2473,Non Strata,-,-,-,-,-,-,-,-,-
2474,Total,422,478,551,485,s,-19.07%,-11.57%,11.11%,-20.00%
2474,Non Strata,422,478,551,485,s,-19.07%,-11.57%,11.11%,-20.00%
2475,Total,-,-,-,-,-,-,-,-,-
2475,Non Strata,-,-,-,-,-,-,-,-,-
2477,Total,737,870,1030,961,46,6.75%,8.75%,4.55%,2.22%
2477,Non Strata,818,941,1120,1060,36,9.74%,8.16%,5.88%,2.86%
2477,Strata,-,-,-,-,-,-,-,-,-
2478,Total,770,920,1218,1012,127,-3.16%,-18.94%,3.25%,8.55%
2478,Non Strata,855,1007,1348,1128,71,-15.38%,-26.36%,-1.39%,10.94%
2478,Strata,664,800,1000,866,56,-3.61%,-5.88%,9.80%,5.66%
2479,Total,-,-,-,-,-,-,-,-,-
2479,Non Strata,-,-,-,-,-,-,-,-,-
2479,Strata,-,-,-,-,-,-,-,-,-
2480,Total,300,470,666,510,295,-1.05%,-21.67%,32.29%,76.65%
2480,Non Strata,288,475,705,516,267,-4.04%,-27.48%,28.37%,88.03%
2480,Strata,373,422,537,449,s,6.90%,-14.61%,86.67%,12.00%
2481,Total,1280,1695,2647,2093,56,5.94%,-20.79%,51.35%,30.23%
2481,Non Strata,1650,2325,2800,2422,s,25.68%,-11.85%,28.57%,3.85%
2481,Strata,969,1395,1750,1786,s,25.68%,-19.13%,81.25%,70.59%
2482,Total,946,1075,1215,1168,s,-2.27%,-10.42%,-37.93%,-10.00%
2482,Non Strata,946,1075,1215,1168,s,-2.27%,-15.69%,-37.93%,0.00%
2483,Total,920,1100,1360,1198,53,-8.33%,7.84%,35.90%,96.30%
2483,Non Strata,990,1200,1685,1332,37,-3.81%,7.14%,2.78%,85.00%
2483,Strata,784,891,1068,888,s,6.07%,11.38%,433.33%,128.57%
2484,Total,700,789,996,904,94,-1.90%,5.17%,9.30%,59.32%
2484,Non Strata,703,800,1004,925,90,-3.61%,4.85%,16.88%,63.64%
2484,Strata,-,-,-,-,-,-,-,-,-
2485,Total,594,800,1050,892,121,-0.93%,19.40%,47.56%,27.37%
2485,Non Strata,880,996,1150,1067,s,-5.82%,-3.54%,-25.00%,16.67%
2485,Strata,582,763,951,855,100,10.83%,20.08%,85.19%,29.87%
2486,Total,710,888,1075,921,160,6.68%,9.65%,15.94%,0.63%
2486,Non Strata,865,965,1170,1051,111,4.32%,1.98%,23.33%,8.82%
2486,Strata,557,635,695,625,49,0.20%,1.60%,2.08%,-14.04%
2487,Total,973,1430,1838,1524,87,9.58%,16.73%,12.99%,12.99%
2487,Non Strata,1650,1810,2240,1977,49,-9.50%,-10.51%,40.00%,36.11%
2487,Strata,676,857,1199,940,38,2.58%,-2.67%,-9.52%,-7.32%
2488,Total,671,982,1433,1049,s,12.17%,73.72%,6.67%,-65.96%
2488,Non Strata,-,-,-,-,-,-,-,-,-
2488,Strata,-,-,-,-,-,-,-,-,-
2489,Total,865,998,1228,1068,36,-12.50%,-18.57%,16.13%,71.43%
2489,Non Strata,1046,1211,1354,1240,s,-3.16%,-8.98%,5.88%,20.00%
2489,Strata,830,865,930,897,s,-4.95%,-1.14%,28.57%,200.00%
2490,Total,-,-,-,-,-,-,-,-,-
2490,Non Strata,-,-,-,-,-,-,-,-,-
2500,Total,650,800,973,865,194,0.00%,8.62%,-1.02%,-3.00%
2500,Non Strata,895,1025,1305,1120,65,-16.33%,-1.91%,32.65%,12.07%
2500,Strata,590,720,825,736,129,1.41%,10.34%,-12.24%,-9.15%
2502,Total,705,734,783,749,34,-2.85%,-5.96%,-12.82%,-8.11%
2502,Non Strata,705,735,785,757,33,-4.39%,-9.26%,-8.33%,0.00%
2502,Strata,-,-,-,-,-,-,-,-,-
2505,Total,720,801,990,939,s,-0.93%,-6.92%,111.11%,58.33%
2505,Non Strata,740,880,1000,994,s,0.00%,-1.18%,142.86%,70.00%
2505,Strata,-,-,-,-,-,-,-,-,-
2506,Total,700,725,799,757,s,-2.03%,0.00%,10.53%,0.00%
2506,Non Strata,700,725,799,757,s,-2.03%,0.00%,10.53%,0.00%
2508,Total,1013,1205,1415,1229,s,2.99%,-4.74%,0.00%,-28.95%
2508,Non Strata,1107,1300,1592,1327,s,8.33%,0.00%,-8.70%,-32.26%
2508,Strata,-,-,-,-,-,-,-,-,-
2515,Total,1405,1715,2150,1759,39,-2.00%,5.70%,34.48%,-2.50%
2515,Non Strata,1655,1940,2350,1978,s,-9.77%,4.30%,66.67%,11.11%
2515,Strata,-,-,-,-,-,-,-,-,-
2516,Total,1254,1325,1900,1542,s,-11.67%,-11.07%,-14.29%,5.88%
2516,Non Strata,1250,1350,1950,1558,s,-18.72%,-11.18%,0.00%,6.25%
2516,Strata,-,-,-,-,-,-,-,-,-
2517,Total,790,1200,1420,1164,53,4.35%,17.65%,8.16%,43.24%
2517,Non Strata,1196,1350,1578,1390,36,-5.59%,0.00%,16.13%,71.43%
2517,Strata,590,650,750,684,s,-15.31%,-13.62%,-5.56%,6.25%
2518,Total,718,871,1242,977,72,-7.09%,-2.13%,-10.00%,16.13%
2518,Non Strata,1100,1244,1350,1233,36,6.76%,11.05%,-26.53%,24.14%
2518,Strata,660,718,791,721,36,10.08%,-5.62%,16.13%,9.09%
2519,Total,835,1000,1245,1052,55,5.26%,-5.39%,17.02%,-12.70%
2519,Non Strata,970,1113,1336,1184,s,5.95%,-3.26%,15.38%,-26.83%
2519,Strata,700,815,1000,893,s,1.62%,4.49%,19.05%,13.64%
2525,Total,868,930,1065,958,32,-9.71%,-2.11%,33.33%,39.13%
2525,Non Strata,885,975,1080,984,s,-5.34%,1.01%,20.83%,45.00%
2525,Strata,-,-,-,-,-,-,-,-,-
2526,Total,801,860,944,912,46,-9.85%,-7.53%,21.05%,48.39%
2526,Non Strata,827,870,975,931,41,-9.84%,-3.87%,10.81%,46.43%
2526,Strata,-,-,-,-,-,-,-,-,-
2527,Total,700,780,948,831,103,-2.50%,-10.34%,0.00%,-4.63%
2527,Non Strata,775,854,1020,900,69,1.24%,-5.11%,-12.66%,-23.33%
2527,Strata,644,698,722,691,34,3.99%,5.76%,41.67%,88.89%
2528,Total,680,772,865,837,76,0.52%,2.87%,-9.52%,-1.30%
2528,Non Strata,713,797,888,900,52,-0.38%,4.18%,-20.00%,-17.46%
2528,Strata,593,743,830,700,s,14.23%,22.47%,26.32%,71.43%
2529,Total,830,962,1200,1037,114,3.39%,-2.88%,22.58%,6.54%
2529,Non Strata,915,1077,1257,1127,85,-3.97%,-2.14%,32.81%,8.97%
2529,Strata,710,770,825,773,s,4.76%,8.45%,0.00%,0.00%
2530,Total,690,767,865,805,125,-1.03%,-4.01%,15.74%,-3.10%
2530,Non Strata,717,787,886,834,108,-0.54%,-2.24%,14.89%,-2.70%
2530,Strata,480,650,720,617,s,-9.28%,0.00%,21.43%,-5.56%
2533,Total,890,1125,1665,1328,73,-4.66%,-13.13%,15.87%,5.80%
2533,Non Strata,1131,1400,1936,1602,46,9.38%,-6.04%,6.98%,9.52%
2533,Strata,720,850,962,861,s,-4.49%,-3.95%,35.00%,0.00%
2534,Total,1225,1610,2071,1673,s,4.04%,-14.69%,-16.67%,5.26%
2534,Non Strata,1243,1670,2093,1708,s,7.92%,-13.02%,-20.83%,5.56%
2534,Strata,-,-,-,-,-,-,-,-,-
2535,Total,850,1300,2080,1646,s,20.90%,-10.34%,-39.29%,-10.53%
2535,Non Strata,906,1300,2223,1704,s,16.20%,-10.34%,-38.46%,-5.88%
2535,Strata,-,-,-,-,-,-,-,-,-
2536,Total,600,708,883,748,108,-6.29%,-14.24%,6.93%,0.93%
2536,Non Strata,646,775,916,808,80,-6.12%,-11.18%,12.68%,-5.88%
2536,Strata,481,580,676,578,s,-3.49%,-7.57%,-6.67%,27.27%
2537,Total,745,840,1050,909,52,-3.45%,-5.08%,-5.45%,-1.89%
2537,Non Strata,749,840,1050,915,51,-8.20%,-16.00%,0.00%,8.51%
2537,Strata,-,-,-,-,-,-,-,-,-
2538,Total,-,-,-,-,-,-,-,-,-
2538,Non Strata,-,-,-,-,-,-,-,-,-
2539,Total,785,911,1204,1014,86,2.36%,3.52%,19.44%,-3.37%
2539,Non Strata,810,950,1245,1056,73,4.97%,2.70%,7.35%,-1.35%
2539,Strata,735,770,820,779,s,3.70%,4.05%,225.00%,-13.33%
2540,Total,686,813,1014,886,214,4.30%,-3.27%,0.00%,1.42%
2540,Non Strata,695,830,1028,899,203,4.47%,-2.92%,3.57%,2.01%
2540,Strata,580,620,713,657,s,4.64%,-8.15%,-38.89%,-8.33%
2541,Total,590,670,763,681,135,-0.74%,-2.19%,23.85%,28.57%
2541,Non Strata,606,693,777,700,122,1.84%,-3.15%,35.56%,37.08%
2541,Strata,465,470,525,501,s,-20.34%,11.90%,-31.58%,-18.75%
2545,Total,-,-,-,-,-,-,-,-,-
2545,Non Strata,-,-,-,-,-,-,-,-,-
2546,Total,650,760,970,858,45,-3.80%,-5.00%,-6.25%,25.00%
2546,Non Strata,751,850,1136,977,32,3.53%,0.65%,-11.11%,14.29%
2546,Strata,420,566,750,565,s,-20.17%,16.70%,8.33%,62.50%
2548,Total,639,799,1027,852,43,-4.60%,0.03%,-2.27%,-21.82%
